Item,QuantitySold,DateSold,Week,Label,MilkFat,Price,Month
MlkWhlProjec3.19/ITH,1,1/31/2022,1,QRCode,Whole,3.19,1
CornelMilk1/2Gal,1,2/1/2022,1,Static,Whole,3.19,1
CornelMilk1/2Gal,2,2/2/2022,1,Static,Whole,3.19,1
Corn2%Milk1/2Gal,1,2/2/2022,1,Static,ReducedFat,3.19,1
MlkWhlProjec3.19/ITH,1,2/2/2022,1,QRCode,Whole,3.19,1
MlkWhlProjec3.19/ITH,2,2/7/2022,2,QRCode,Whole,3.19,1
Corn2%Milk1/2Gal,1,2/7/2022,2,Static,ReducedFat,3.19,1
MlkWhlProjec3.19/ITH,3,2/8/2022,2,QRCode,Whole,3.19,1
Corn2%Milk1/2Gal,2,2/8/2022,2,Static,ReducedFat,3.19,1
CornelMilk1/2Gal,2,2/8/2022,2,Static,Whole,3.19,1
Mlk2%Project3.19/ITH,2,2/8/2022,2,QRCode,ReducedFat,3.19,1
CornelMilk1/2Gal,1,2/9/2022,2,Static,Whole,3.19,1
CornSkMilk1/2Gal,1,2/9/2022,2,Static,Skim,3.19,1
MlkWhlProjec3.19/ITH,1,2/9/2022,2,QRCode,Whole,3.19,1
CornelMilk1/2Gal,1,2/10/2022,2,Static,Whole,3.19,1
MlkWhlProjec3.19/ITH,4,2/11/2022,2,QRCode,Whole,3.19,1
CornelMilk1/2Gal,1,2/11/2022,2,Static,Whole,3.19,1
Mlk2%Project3.19/ITH,1,2/11/2022,2,QRCode,ReducedFat,3.19,1
MlkSkmProjec3.19/ITH,1,2/11/2022,2,QRCode,Skim,3.19,1
Mlk2%Project3.19/ITH,2,2/14/2022,3,QRCode,ReducedFat,3.19,1
MlkWhlProjec3.19/ITH,2,2/14/2022,3,QRCode,Whole,3.19,1
MlkWhlProjec3.19/ITH,2,2/15/2022,3,QRCode,Whole,3.19,1
Mlk2%Project3.19/ITH,1,2/15/2022,3,QRCode,ReducedFat,3.19,1
MlkWhlProjec3.19/ITH,3,2/16/2022,3,QRCode,Whole,3.19,1
CornelMilk1/2Gal,1,2/17/2022,3,Static,Whole,3.19,1
CornSkMilk1/2Gal,1,2/17/2022,3,Static,Skim,3.19,1
MlkWhlProjec3.19/ITH,1,2/17/2022,3,QRCode,Whole,3.19,1
CornelMilk1/2Gal,2,2/18/2022,3,Static,Whole,3.19,1
Mlk2%Project3.19/ITH,1,2/18/2022,3,QRCode,ReducedFat,3.19,1
MlkWhlProjec3.19/ITH,5,2/21/2022,4,QRCode,Whole,3.19,1
Mlk2%Project3.19/ITH,3,2/21/2022,4,QRCode,ReducedFat,3.19,1
Corn2%Milk1/2Gal,1,2/21/2022,4,Static,ReducedFat,3.19,1
MlkWhlProjec3.19/ITH,2,2/22/2022,4,QRCode,Whole,3.19,1
CornelMilk1/2Gal,1,2/22/2022,4,Static,Whole,3.19,1
CornSkMilk1/2Gal,1,2/22/2022,4,Static,Skim,3.19,1
Mlk2%Project3.19/ITH,1,2/22/2022,4,QRCode,ReducedFat,3.19,1
Mlk2%Project3.19/ITH,1,2/23/2022,4,QRCode,ReducedFat,3.19,1
MlkSkmProjec3.19/ITH,1,2/23/2022,4,QRCode,Skim,3.19,1
MlkWhlProjec3.19/ITH,1,2/23/2022,4,QRCode,Whole,3.19,1
MlkWhlProjec3.19/ITH,2,2/24/2022,4,QRCode,Whole,3.19,1
MlkWhlProjec3.19/ITH,3,2/25/2022,4,QRCode,Whole,3.19,1
CornelMilk1/2Gal,1,2/28/2022,5,Static,Whole,3.19,2
CornSkMilk1/2Gal,1,2/28/2022,5,Static,Skim,3.19,2
MlkWhlProjec3.19/ITH,2,3/1/2022,5,QRCode,Whole,3.19,2
CornelMilk1/2Gal,1,3/1/2022,5,Static,Whole,3.19,2
CornSkMilk1/2Gal,1,3/1/2022,5,Static,Skim,3.19,2
Mlk2%Project3.19/ITH,2,3/2/2022,5,QRCode,ReducedFat,3.19,2
MlkWhlProjec3.19/ITH,1,3/2/2022,5,QRCode,Whole,3.19,2
Corn2%Milk1/2Gal,1,3/3/2022,5,Static,ReducedFat,3.19,2
Corn2%Milk1/2Gal,1,3/4/2022,5,Static,ReducedFat,3.19,2
Mlk2%Project3.19/ITH,1,3/4/2022,5,QRCode,ReducedFat,3.19,2
MlkWhlProjec3.19/ITH,1,3/4/2022,5,QRCode,Whole,3.19,2
MlkWhlProjec3.19/ITH,2,3/7/2022,6,QRCode,Whole,3.19,2
CornelMilk1/2Gal,1,3/7/2022,6,Static,Whole,3.19,2
Milk2%Disc2.87/ITH,1,3/7/2022,6,Static,ReducedFat,2.87,2
CornelMilk1/2Gal,2,3/8/2022,6,Static,Whole,3.19,2
MlkWhlProjec3.19/ITH,2,3/8/2022,6,QRCode,Whole,3.19,2
Corn2%Milk1/2Gal,1,3/9/2022,6,Static,ReducedFat,3.19,2
CornelMilk1/2Gal,1,3/9/2022,6,Static,Whole,3.19,2
MlkSkmDisc2.55/ITH,1,3/10/2022,6,Static,Skim,2.55,2
MlkSkmProjec3.19/ITH,0,3/10/2022,6,QRCode,Skim,3.19,2
MlkWhlProjec3.19/ITH,2,3/11/2022,6,QRCode,Whole,3.19,2
Corn2%Milk1/2Gal,2,3/14/2022,7,Static,ReducedFat,3.19,2
CornelMilk1/2Gal,2,3/14/2022,7,Static,Whole,3.19,2
MlkWhlProjec3.19/ITH,1,3/14/2022,7,QRCode,Whole,3.19,2
Milk2%Disc2.55/ITH,1,3/14/2022,7,Static,ReducedFat,2.55,2
Mlk2%Project3.19/ITH,0,3/14/2022,7,QRCode,ReducedFat,3.19,2
CornelMilk1/2Gal,1,3/15/2022,7,Static,Whole,3.19,2
Mlk2%Project3.19/ITH,1,3/15/2022,7,QRCode,ReducedFat,3.19,2
MlkWhlProjec3.19/ITH,1,3/15/2022,7,QRCode,Whole,3.19,2
Corn2%Milk1/2Gal,1,3/16/2022,7,Static,ReducedFat,3.19,2
CornelMilk1/2Gal,1,3/16/2022,7,Static,Whole,3.19,2
MlkWhlProjec3.19/ITH,1,3/16/2022,7,QRCode,Whole,3.19,2
CornSkMilk1/2Gal,1,3/16/2022,7,Static,Skim,3.19,2
MlkSkmProjec3.19/ITH,1,3/16/2022,7,QRCode,Skim,3.19,2
MlkWhlProjec3.19/ITH,2,3/17/2022,7,QRCode,Whole,3.19,2
CornSkMilk1/2Gal,1,3/17/2022,7,Static,Skim,3.19,2
Mlk2%Project3.19/ITH,1,3/17/2022,7,QRCode,ReducedFat,3.19,2
MlkSkmProjec3.19/ITH,0,3/17/2022,7,QRCode,Skim,3.19,2
MlkWhlProjec3.19/ITH,3,3/18/2022,7,QRCode,Whole,3.19,2
Mlk2%Project3.19/ITH,2,3/18/2022,7,QRCode,ReducedFat,3.19,2
CornelMilk1/2Gal,1,3/18/2022,7,Static,Whole,3.19,2
MlkWhlProjec3.19/ITH,2,3/22/2022,8,QRCode,Whole,3.19,2
CornelMilk1/2Gal,1,3/22/2022,8,Static,Whole,3.19,2
MlkWhlProjec3.19/ITH,2,3/23/2022,8,QRCode,Whole,3.19,2
CornelMilk1/2Gal,1,3/23/2022,8,Static,Whole,3.19,2
Milk2%Disc1.99/ITH,1,3/23/2022,8,Static,ReducedFat,1.91,2
MlkSkmProjec3.19/ITH,1,3/24/2022,8,QRCode,Skim,3.19,2
Corn2%Milk1/2Gal,2,3/25/2022,8,Static,ReducedFat,3.19,2
MlkWhlProjec3.19/ITH,1,3/25/2022,8,QRCode,Whole,3.19,2
