Item,DateSold,TimeSold,Week,MilkFat,Price,Month,Associated with Scan,Associate with discount
MlkWhlProjec3.19/ITH,1/31/2022,13:17,1,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/2/2022,13:34,1,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/7/2022,11:03,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/7/2022,16:03,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/8/2022,11:40,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/8/2022,13:02,2,Whole,3.19,1,X,
MlkWhlProjec3.19/ITH,2/8/2022,13:40,2,Whole,3.19,1,,
Mlk2%Project3.19/ITH,2/8/2022,14:14,2,ReducedFat,3.19,1,,
Mlk2%Project3.19/ITH,2/8/2022,14:54,2,ReducedFat,3.19,1,,
MlkWhlProjec3.19/ITH,2/9/2022,12:28,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/11/2022,12:56,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/11/2022,13:08,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/11/2022,15:43,2,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/11/2022,17:45,2,Whole,3.19,1,,
Mlk2%Project3.19/ITH,2/11/2022,13:59,2,ReducedFat,3.19,1,,
MlkSkmProjec3.19/ITH,2/11/2022,15:43,2,Skim,3.19,1,,
Mlk2%Project3.19/ITH,2/14/2022,13:05,3,ReducedFat,3.19,1,,
Mlk2%Project3.19/ITH,2/14/2022,14:04,3,ReducedFat,3.19,1,,
MlkWhlProjec3.19/ITH,2/14/2022,13:32,3,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/14/2022,14:01,3,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/15/2022,14:11,3,Whole,3.19,1,X,
MlkWhlProjec3.19/ITH,2/15/2022,15:24,3,Whole,3.19,1,,
Mlk2%Project3.19/ITH,2/15/2022,14:17,3,ReducedFat,3.19,1,,
MlkWhlProjec3.19/ITH,2/16/2022,12:45,3,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/16/2022,17:38,3,Whole,3.19,1,X,
MlkWhlProjec3.19/ITH,2/16/2022,17:41,3,Whole,3.19,1,*,
MlkWhlProjec3.19/ITH,2/17/2022,13:39,3,Whole,3.19,1,,
Mlk2%Project3.19/ITH,2/18/2022,8:30,3,ReducedFat,3.19,1,,
MlkWhlProjec3.19/ITH,2/21/2022,13:29,4,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/21/2022,14:50,4,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/21/2022,14:51,4,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/21/2022,17:46,4,Whole,3.19,1,,
Mlk2%Project3.19/ITH,2/21/2022,9:51,4,ReducedFat,3.19,1,X,
Mlk2%Project3.19/ITH,2/21/2022,14:58,4,ReducedFat,3.19,1,,
Mlk2%Project3.19/ITH,2/21/2022,15:43,4,ReducedFat,3.19,1,,
MlkWhlProjec3.19/ITH,2/22/2022,9:42,4,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/22/2022,14:16,4,Whole,3.19,1,,
Mlk2%Project3.19/ITH,2/22/2022,11:25,4,ReducedFat,3.19,1,,
Mlk2%Project3.19/ITH,2/23/2022,14:08,4,ReducedFat,3.19,1,,
MlkSkmProjec3.19/ITH,2/23/2022,12:52,4,Skim,3.19,1,,
MlkWhlProjec3.19/ITH,2/23/2022,15:26,4,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/24/2022,12:34,4,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/24/2022,13:17,4,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/25/2022,12:33,4,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/25/2022,13:15,4,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,2/25/2022,16:02,4,Whole,3.19,1,,
MlkWhlProjec3.19/ITH,3/1/2022,9:29,5,Whole,3.19,2,,
MlkWhlProjec3.19/ITH,3/1/2022,17:40,5,Whole,3.19,2,,
Mlk2%Project3.19/ITH,3/2/2022,16:16,5,ReducedFat,3.19,2,,
Mlk2%Project3.19/ITH,3/2/2022,17:14,5,ReducedFat,3.19,2,,
MlkWhlProjec3.19/ITH,3/2/2022,17:45,5,Whole,3.19,2,X,
Mlk2%Project3.19/ITH,3/4/2022,17:21,5,ReducedFat,3.19,2,,
MlkWhlProjec3.19/ITH,3/4/2022,15:14,5,Whole,3.19,2,,
MlkWhlProjec3.19/ITH,3/7/2022,12:27,6,Whole,3.19,2,,
MlkWhlProjec3.19/ITH,3/7/2022,13:49,6,Whole,3.19,2,,
Milk2%Disc2.87/ITH,3/7/2022,10:06,6,ReducedFat,2.87,2,,X
MlkWhlProjec3.19/ITH,3/8/2022,11:02,6,Whole,3.19,2,X,
MlkWhlProjec3.19/ITH,3/8/2022,12:39,6,Whole,3.19,2,,
MlkSkmDisc2.55/ITH,3/10/2022,11:19,6,Skim,2.55,2,X,X
MlkSkmProjec3.19/ITH,3/10/2022,11:19,6,Skim,3.19,2,,
MlkWhlProjec3.19/ITH,3/11/2022,14:27,6,Whole,3.19,2,,
MlkWhlProjec3.19/ITH,3/11/2022,17:12,6,Whole,3.19,2,,
MlkWhlProjec3.19/ITH,3/14/2022,16:33,7,Whole,3.19,2,,
Mlk2%Project3.19/ITH,3/14/2022,17:09,7,ReducedFat,3.19,2,X,
Mlk2%Project3.19/ITH,3/15/2022,10:18,7,ReducedFat,3.19,2,,
MlkWhlProjec3.19/ITH,3/15/2022,16:05,7,Whole,3.19,2,,
MlkSkmProjec3.19/ITH,3/16/2022,12:47,7,Skim,3.19,2,,
Mlk2%Project3.19/ITH,3/17/2022,16:47,7,ReducedFat,3.19,2,X,
MlkWhlProjec3.19/ITH,3/18/2022,10:33,7,Whole,3.19,2,,
MlkWhlProjec3.19/ITH,3/18/2022,13:39,7,Whole,3.19,2,,
MlkWhlProjec3.19/ITH,3/18/2022,15:36,7,Whole,3.19,2,X,
Mlk2%Project3.19/ITH,3/18/2022,15:59,7,ReducedFat,3.19,2,X,
Mlk2%Project3.19/ITH,3/18/2022,17:49,7,ReducedFat,3.19,2,,
MlkWhlProjec3.19/ITH,3/22/2022,14:11,8,Whole,3.19,2,X,
MlkWhlProjec3.19/ITH,3/22/2022,16:42,8,Whole,3.19,2,,
CornelMilk1/2Gal,3/22/2022,14:08,8,Whole,3.19,2,,
MlkWhlProjec3.19/ITH,3/23/2022,13:09,8,Whole,3.19,2,,
MlkWhlProjec3.19/ITH,3/23/2022,17:32,8,Whole,3.19,2,,
CornelMilk1/2Gal,3/23/2022,14:15,8,Whole,3.19,2,,
Milk2%Disc1.99/ITH,3/23/2022,13:01,8,ReducedFat,1.91,2,,X
MlkSkmProjec3.19/ITH,3/24/2022,14:19,8,Skim,3.19,2,X,
Corn2%Milk1/2Gal,3/25/2022,10:10,8,ReducedFat,3.19,2,,
Corn2%Milk1/2Gal,3/25/2022,12:08,8,ReducedFat,3.19,2,,
